id;siren;nic;l1_normalisee;l2_normalisee;l3_normalisee;l4_normalisee;l5_normalisee;l6_normalisee;l7_normalisee;numvoie;typvoie;libvoie;codpos;libcom;apet700;libtefet;adr_mail
7959466;752389809;00027;LEBRIO;"L AVILDA";;"6 QUAI DE LA DOUANE";;"29200 BREST";FRANCE;6;QUAI;"DE LA DOUANE";29200;BREST;5610A;"10 à 19 salariés";
7962596;752435396;00029;"ERF DETECTIVE PRIVE";;;"9 RUE ANDRE PINGAT";;"51100 REIMS";FRANCE;9;RUE;"ANDRE PINGAT";51100;REIMS;8030Z;"0 salarié";
7962597;752435396;00037;"ERF DETECTIVE PRIVE";;;"33 QUAI ARLOING";;"69009 LYON";FRANCE;33;QUAI;ARLOING;69009;"LYON 9EME";8030Z;"0 salarié";
7962598;752435396;00045;"ERF DETECTIVE PRIVE";;;"29 BOULEVARD DE LA FERRAGE";;"06400 CANNES";FRANCE;29;BD;"DE LA FERRAGE";06400;CANNES;8030Z;"Unités non employeuses";
7962599;752435396;00052;"ERF DETECTIVE PRIVE";;;"3 AVENUE DES CHASSEURS";;"75017 PARIS";FRANCE;3;AV;"DES CHASSEURS";75017;"PARIS 17";8030Z;"0 salarié";
7964322;752459164;00014;EYESEL;;;"45 RUE DU PRESIDENT WILSON";;"92300 LEVALLOIS PERRET";FRANCE;45;RUE;"DU PDT WILSON";92300;"LEVALLOIS PERRET";7022Z;"0 salarié";
7996899;752941203;00016;BHL;"LE TERMINAL CLUB";;"3 RUE TERME";;"69001 LYON";FRANCE;3;RUE;TERME;69001;"LYON 1ER";5630Z;"3 à 5 salariés";
8018600;753263144;00036;"F A M I FERRONNERIE ART METAL INDUST";"18 20";;"18 RUE LE BRUN";;"75013 PARIS";FRANCE;18;RUE;"LE BRUN";75013;"PARIS 13";4332A;"10 à 19 salariés";
8042785;753636570;00016;"EQUIP TOIT CCIF";;;"36 AV DU PDT FRANCOIS MITTERRAND";;"33270 FLOIRAC";FRANCE;36;AV;"DU PDT FRANCOIS MITTERRAND";33270;FLOIRAC;4391A;"3 à 5 salariés";
8048068;753715796;00011;"ABELIA SERVICES ET PARC";;;"21 RUE DOUDEAUVILLE";;"75018 PARIS";FRANCE;21;RUE;DOUDEAUVILLE;75018;"PARIS 18";8122Z;"3 à 5 salariés";
8059833;753893676;00019;"OOFRAIS PARIS";;;"58 AVENUE PIERRE BERTHELOT";;"14000 CAEN";FRANCE;58;AV;"PIERRE BERTHELOT";14000;CAEN;4941B;"0 salarié";
8059834;753893676;00035;"OOFRAIS PARIS";;"BUREAU 250 BATIMENT G3 CENTRA 115";"250 RUE DE LA TOUR";"CHEVILLY LARUE";"94566 RUNGIS CEDEX 2";;250;RUE;"DE LA TOUR";94550;"CHEVILLY LARUE";4941A;"20 à 49 salariés";
